,name,artist,duration,key,mode,beats,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,URI
0,So We Can Live,2 Chainz,406373,6,1,4,0.0516,0.452,0.717,0.0,0.0778,-7.151,0.324,0.458,78.306,11,spotify:track:5qtYOifRgh6UC4Muyp5XZv
1,Mainstream Ratchet,2 Chainz,238187,5,1,4,0.589,0.733,0.549,7.47e-05,0.255,-5.605,0.0858,0.246,121.982,11,spotify:track:1S5Aw8EVdP8Uqsz6H1MBR0
2,Feds Watching,2 Chainz,247013,7,1,4,0.0476,0.79,0.875,0.0,0.312,-6.55,0.091,0.759,139.985,24,spotify:track:7cDzi0VONMrZoNUhh5OGFK
3,I Do It,2 Chainz,373693,11,0,4,0.181,0.581,0.716,0.0,0.201,-4.486,0.186,0.597,145.378,20,spotify:track:3x9j7V2GEuCHBm32nUrzWl
4,Saturday Night,2 Chainz,271187,0,0,4,0.452,0.644,0.805,1e-05,0.11,-4.513,0.0975,0.461,115.915,48,spotify:track:5zlSTZhZq6rXL4Xn2PBayO
5,Riverdale Rd,2 Chainz,204093,11,1,4,0.0179,0.866,0.652,0.0,0.728,-4.213,0.239,0.222,125.101,48,spotify:track:5xkTHyhR9kCuFvqPkjgpId
6,Blue Cheese,2 Chainz,308733,7,1,4,0.0693,0.804,0.583,0.0,0.578,-5.335,0.244,0.11,130.001,57,spotify:track:67gmXPQZL1ISSh13OJJ1Pu
7,Burglar Bars,2 Chainz,307973,1,1,4,0.0375,0.436,0.822,0.0,0.352,-4.737,0.542,0.474,142.965,41,spotify:track:6vyiJLw78B1MsrPBBg6BBq
8,NCAA,2 Chainz,248013,3,0,4,0.178,0.839,0.641,0.0,0.135,-5.837,0.284,0.462,120.037,50,spotify:track:2jXpiTuwwWbCSvpkKwCfwc
9,Statute Of Limitations,2 Chainz,149347,10,0,4,0.00914,0.834,0.526,0.0,0.12,-5.209,0.486,0.259,179.945,51,spotify:track:7xyiNzgTaaohnXHjKO4TXp
10,Everything I Know,2 Chainz,233493,10,0,4,0.186,0.819,0.708,0.0,0.221,-3.461,0.0487,0.408,127.013,29,spotify:track:1xe2W36ZKi9M9R7tWCY761
11,I Feel Like,2 Chainz,274427,2,1,4,0.375,0.555,0.62,0.0,0.115,-5.546,0.394,0.252,132.769,35,spotify:track:2sFArpNxneo4wFY2h6kCX8
12,Starter Kit,2 Chainz,218893,1,1,4,0.385,0.893,0.523,0.0,0.253,-7.834,0.291,0.435,132.043,30,spotify:track:519OoKgwtqIS1NE3lR4hqf
13,El Chapo Jr,2 Chainz,188067,0,1,4,0.059,0.939,0.689,0.0,0.0895,-5.121,0.0877,0.502,137.05,53,spotify:track:2wY8ZIMBATERhRezsdfqDl
14,Basehead,03 Greedo,184889,10,1,4,0.056,0.927,0.969,0.00219,0.165,-3.194,0.216,0.866,135.039,33,spotify:track:0OSzy6MgN642oP42hbN695
15,"Buckhead (feat. KEY, Runway Richy, ManMan Savage & Mal & Quill)",03 Greedo,312048,5,0,4,0.28,0.797,0.38,0.0,0.145,-9.758,0.446,0.328,159.997,26,spotify:track:7FE1efLq4ydlzwGvUILNiP
16,Fortnite (Remix) (feat. Rich The Kid),03 Greedo,257384,6,0,4,0.382,0.818,0.495,0.0,0.0994,-7.821,0.136,0.368,96.957,38,spotify:track:1z4dFvFG1xKH99ERYzpc0S
17,Static,03 Greedo,203494,9,1,4,0.000684,0.73,0.695,0.0,0.0944,-7.589,0.0496,0.546,153.364,26,spotify:track:7iuPsZp0rlSdZbQXVq5hOZ
18,Street Life,03 Greedo,133548,9,1,3,0.155,0.969,0.857,4.39e-06,0.14,-4.902,0.117,0.916,124.035,28,spotify:track:7HcWaijijZU9vnVbzpznBe
19,Mr. OT,03 Greedo,210207,1,0,4,0.0839,0.781,0.248,0.0,0.249,-12.228,0.336,0.228,158.001,20,spotify:track:0Ry4BmK6x0UfvHlPXAiwQB
20,Never Bend (Remix) (feat. Lil Uzi Vert),03 Greedo,289358,5,0,4,0.442,0.548,0.585,0.0,0.136,-6.262,0.166,0.686,180.157,48,spotify:track:0UqShk7xMPzDWsJB9s0eFF
21,Disco Shit,03 Greedo,171653,1,0,4,0.0271,0.867,0.504,6.14e-05,0.11,-7.952,0.245,0.605,157.896,61,spotify:track:51lGztUKCzZXn5sbcxO2tZ
22,Paid In Full,03 Greedo,147760,1,1,4,0.0929,0.836,0.485,0.000117,0.122,-9.106,0.4,0.484,143.064,48,spotify:track:6CoPFxzRM0rTFvOW8Z3LMG
23,Maria,03 Greedo,172280,1,1,4,0.488,0.842,0.532,0.000521,0.559,-6.586,0.375,0.603,92.042,54,spotify:track:1I4UEPJucHMW1ikfkZN1uP
24,Brad Pitt,03 Greedo,135440,9,0,3,0.0481,0.811,0.446,0.000223,0.485,-8.742,0.179,0.501,143.952,45,spotify:track:798Sx2UjJNUWc2VPE9wbrm
25,Payback,03 Greedo,186413,6,0,4,0.187,0.903,0.456,0.0,0.0801,-7.941,0.394,0.722,84.98,50,spotify:track:4EbmcDwo8BAzWGDE0cRrmj
