,name,artist,duration,key,mode,beats,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,URI
0,Blessing It -remix (feat. Substantial & Pase Rock from Five Deez),Nujabes,203707,1,1,4,0.238,0.725,0.726,0.00243,0.265,-7.446,0.233,0.568,101.807,52,spotify:track:4MbUcaX58NkUmKXe6FuBaV
1,Horn in the middle,Nujabes,248600,7,1,4,0.0778,0.79,0.943,0.896,0.0855,-8.631,0.0398,0.581,114.1,39,spotify:track:2rnAYh7REAMGYqJUXJKZZK
2,Lady Brown (feat. Cise Starr from CYNE),Nujabes,199160,0,1,4,0.611,0.499,0.874,0.000639,0.0703,-4.586,0.097,0.861,97.317,55,spotify:track:0JL9TZip7mL7iwC5EOkALS
3,Kumomi,Nujabes,233627,1,1,4,0.147,0.691,0.672,0.945,0.104,-8.125,0.0447,0.707,92.787,49,spotify:track:3GUqoL8LDEpw2GH6G9onE0
4,Highs 2 Lows (feat. Cise Starr from CYNE),Nujabes,277960,7,1,4,0.541,0.766,0.848,1.08e-05,0.0851,-7.296,0.111,0.676,100.995,40,spotify:track:3yKLskgaU2py5ET4OBDQmg
5,Beat laments the world,Nujabes,263373,1,1,4,0.409,0.578,0.638,0.892,0.112,-9.134,0.0596,0.757,92.542,45,spotify:track:5tO3pr49SdxO05TNlYHfHT
6,Letter from Yokosuka,Nujabes,189347,11,1,4,0.837,0.748,0.444,0.916,0.108,-10.096,0.0346,0.538,99.886,40,spotify:track:68hjxmQouj1VRaUg8BHWAV
7,Think Different (feat. Substantial),Nujabes,197293,6,1,4,0.547,0.698,0.797,0.00207,0.107,-5.672,0.122,0.745,95.212,42,spotify:track:0rKR7VLBxqVQAz2UEe3D8N
8,A day by atmosphere supreme,Nujabes,239693,6,0,4,0.55,0.776,0.407,0.0579,0.118,-8.135,0.14,0.715,97.985,39,spotify:track:07JIJUJdAP9LiyYS5rS8cR
9,Next view (feat. Uyama Hiroto),Nujabes,275693,10,0,4,0.00644,0.655,0.828,0.79,0.0975,-6.692,0.0649,0.743,111.067,37,spotify:track:2csdd679hni5tQsW8lkEV1
10,Latitude -remix (feat. Five Deez),Nujabes,236533,7,0,4,0.644,0.823,0.814,0.687,0.117,-5.611,0.177,0.649,102.619,40,spotify:track:65u7IbuZ4viAlVBHxnpos1
11,F.I.L.O. (feat. Shing02),Nujabes,211227,4,0,4,0.393,0.875,0.722,0.000511,0.0896,-6.348,0.233,0.447,101.02,40,spotify:track:43pWChQ7AOab9wlSGy0dN6
12,Summer Gypsy,Nujabes,259587,10,0,4,0.000676,0.781,0.743,0.792,0.0971,-7.307,0.0789,0.289,109.11,38,spotify:track:2NgInslT2bXxgqeCaoyX2z
13,The Final View,Nujabes,214947,7,1,4,0.00952,0.591,0.857,0.674,0.148,-3.487,0.075,0.582,89.129,49,spotify:track:3MZHDutJalh9C4DNLptn2v
14,Peaceland,Nujabes,499120,7,0,4,0.00259,0.66,0.917,0.728,0.457,-6.897,0.0897,0.784,170.014,44,spotify:track:4pVwc3fU2RqL7l7L0fSwaq
15,Feather (feat. Cise Starr & Akin from CYNE),Nujabes,175360,10,0,4,0.655,0.565,0.749,0.432,0.106,-6.629,0.0769,0.881,180.598,59,spotify:track:2ej1A2Ze6P2EOW7KfIosZR
16,ordinary joe (feat. Terry Callier),Nujabes,308040,11,0,4,0.176,0.719,0.961,0.72,0.0828,-4.613,0.0649,0.458,120.015,44,spotify:track:6zYBZOP6SuKa5JszwpAz7Z
17,reflection eternal,Nujabes,257893,2,1,4,0.429,0.842,0.464,0.789,0.0978,-12.628,0.0418,0.771,93.966,51,spotify:track:6eGMwVVABqVTe9bWRIm498
18,Music is mine,Nujabes,260467,6,0,4,0.231,0.672,0.767,0.815,0.356,-6.845,0.0546,0.503,105.987,40,spotify:track:45ejirK0hfPnsjgzj3s7gP
19,Eclipse (feat. Substantial),Nujabes,214333,11,0,4,0.251,0.596,0.777,0.0717,0.206,-11.963,0.262,0.642,95.65,44,spotify:track:7mEPuj0XW6eK14Unu6IUc1
20,The Sign (feat. Pase Rock),Nujabes,289800,4,0,4,0.774,0.548,0.849,3.03e-06,0.408,-7.287,0.457,0.585,71.081,43,spotify:track:2g8vK3m0npTrzsADQAnbVO
21,Thank you (feat. Apani B),Nujabes,249373,10,0,4,0.131,0.463,0.942,0.0993,0.134,-5.623,0.252,0.835,96.667,39,spotify:track:2eej8hyValZva7TdN39zeD
22,World's end Rhapsody,Nujabes,341200,1,1,4,0.205,0.745,0.731,0.678,0.103,-8.859,0.0949,0.898,121.52,46,spotify:track:7BBZGDSZbsb4Esi8YB94HT
23,Modal Soul (feat. Uyama Hiroto),Nujabes,281160,5,0,4,0.175,0.619,0.803,0.973,0.116,-6.997,0.101,0.814,117.11,40,spotify:track:07JBINIJSHZMkpghrXe2po
24,flowers,Nujabes,239667,0,0,4,0.846,0.669,0.612,0.233,0.16,-5.768,0.0293,0.612,98.475,41,spotify:track:69jGxyfw3lzGGYf78jdkpF
25,sea of cloud,Nujabes,181773,2,1,4,0.832,0.612,0.653,0.949,0.126,-12.103,0.0421,0.827,103.55,40,spotify:track:4rAcMik7N6LlIs61u5bzYo
26,Light on the land,Nujabes,235000,7,1,4,0.0727,0.713,0.706,0.875,0.105,-9.362,0.0343,0.823,110.028,40,spotify:track:2rUaktaAxshyPzIdAKzk1Y
27,Horizon,Nujabes,440093,7,1,4,0.029,0.625,0.91,0.825,0.0948,-9.531,0.0345,0.747,99.99,43,spotify:track:545g4jlvOqZo1sj6k1f9j9
28,Spiritual State (feat. Uyama Hiroto),Nujabes,391893,0,1,3,0.829,0.59,0.396,0.0207,0.28,-12.62,0.0411,0.518,99.971,50,spotify:track:0jkaVZIYepDPnB140eR1Uc
29,Sky is Tumbling (feat. Cise Star),Nujabes,269360,8,1,4,0.0807,0.446,0.843,0.0356,0.121,-7.722,0.109,0.663,90.3,39,spotify:track:3vEAOJD6HXhKiEq6ALYFVd
30,Gone Are The Days (feat. Uyama Hiroto),Nujabes,362227,11,1,4,0.00244,0.558,0.806,0.91,0.0899,-9.817,0.0395,0.885,115.014,39,spotify:track:6d6ieoeAHeWr2Uo7XlD4S3
31,Spiral,Nujabes,220867,1,0,4,0.272,0.673,0.509,0.785,0.129,-7.904,0.0365,0.791,82.02,45,spotify:track:401EJO6SRKjlg5CZpo2SEl
32,City Lights (feat. Pase Rock & Substantial),Nujabes,194293,1,0,4,0.552,0.831,0.622,0.847,0.0955,-10.995,0.0984,0.908,99.994,48,spotify:track:0fbnqrpTlUdy0PUwMdU8Pl
33,Color of Autumn,Nujabes,103813,1,0,4,0.635,0.701,0.602,0.904,0.0729,-12.291,0.0557,0.737,80.029,45,spotify:track:2u93OtblDZphLnmRFjBeeg
34,Dawn on the Side,Nujabes,315453,5,1,4,0.541,0.565,0.583,0.916,0.112,-9.359,0.0698,0.932,197.9,49,spotify:track:764QZXmgb5fDwh1NU8pYcd
35,Yes (feat. Pase Rock),Nujabes,471000,6,0,3,0.473,0.507,0.812,0.00816,0.154,-7.876,0.26,0.913,169.953,39,spotify:track:2XaW5xe9iGD6cypnNvoWke
36,Rainyway Back Home,Nujabes,156480,0,0,4,0.0472,0.739,0.578,0.949,0.114,-10.005,0.0307,0.963,92.011,38,spotify:track:0GR0uFHhHoOA9mYToXhZ42
37,Far Fowls,Nujabes,264680,8,0,4,0.797,0.714,0.784,0.963,0.111,-10.05,0.0441,0.683,106.102,41,spotify:track:4eoRzZzyJ229aP2amYCbmn
38,Fellows,Nujabes,123867,1,1,4,0.0813,0.709,0.909,0.855,0.149,-7.8,0.118,0.704,96.986,36,spotify:track:1APsoIIoBiiDCBkkdTQY82
39,Waiting For The Clouds (feat. Substantial),Nujabes,232307,1,1,4,0.486,0.757,0.665,0.00371,0.109,-9.31,0.175,0.675,88.969,43,spotify:track:3K0vUiZNaeJTLDK4GUicl9
40,Prayer,Nujabes,209267,8,0,4,0.672,0.737,0.75,0.85,0.126,-8.047,0.0509,0.559,92.962,38,spotify:track:6HdAw1lbXOaLNQw18s6yds
41,Island (feat. Uyama Hiroto & haruka nakamura),Nujabes,307467,6,1,4,0.889,0.66,0.435,0.91,0.0852,-9.665,0.0603,0.265,72.01,38,spotify:track:3G0RBe3ZhkDUBh30WVV1hX
42,Automaton,Jamiroquai,287960,8,0,4,0.0252,0.717,0.906,0.0107,0.0591,-6.985,0.0477,0.708,107.996,54,spotify:track:42dJ29C11xlJTLkRVmKty1
43,Virtual Insanity - Remastered,Jamiroquai,340907,6,1,4,0.171,0.618,0.893,3.17e-05,0.285,-6.475,0.109,0.515,91.972,15,spotify:track:6zZmwY5qasaw7QtobXKpZs
44,Cosmic Girl - Remastered,Jamiroquai,244147,11,0,4,0.0261,0.633,0.921,0.00102,0.309,-7.719,0.0495,0.925,119.865,25,spotify:track:3nrVwwePAYIRzUNH9ig6mO
45,Use the Force - Remastered,Jamiroquai,240560,5,0,4,0.0384,0.672,0.926,0.696,0.111,-8.674,0.0406,0.507,123.309,4,spotify:track:2TJWNkB48P8pJoASRI04QN
46,Everyday - Remastered,Jamiroquai,268467,11,0,4,0.342,0.703,0.411,0.565,0.0895,-13.881,0.0346,0.763,136.139,6,spotify:track:0S8szpYAYYZJGHAzLPF7kZ
47,Alright - Remastered,Jamiroquai,263920,7,0,4,0.174,0.815,0.875,0.048,0.136,-7.822,0.0598,0.733,105.805,12,spotify:track:0cL0AarTZtfSt5Tc3a2ZDN
48,High Times - Remastered,Jamiroquai,360013,11,0,4,0.0316,0.629,0.931,0.0258,0.324,-6.592,0.049,0.844,113.249,9,spotify:track:4LGZzACsdcdtx9FxIukGsS
49,Drifting Along - Remastered,Jamiroquai,245787,4,1,4,0.0467,0.777,0.545,0.73,0.0611,-7.591,0.0483,0.77,96.17,8,spotify:track:0hvRqustByLdT678cyhS2X
50,Didjerama - Remastered,Jamiroquai,230747,0,1,4,0.135,0.248,0.295,0.831,0.903,-18.166,0.0434,0.0571,90.398,2,spotify:track:6ERMMVkrVUjF2MrT9CttPK
51,Didjital Vibrations - Remastered,Jamiroquai,349813,0,1,4,0.327,0.715,0.465,0.828,0.088,-12.884,0.0428,0.867,80.244,2,spotify:track:4XYKKgslSNm7bHz3sgW6mb
52,Travelling Without Moving - Remastered,Jamiroquai,220080,1,0,4,0.0179,0.67,0.96,0.64,0.122,-9.371,0.0596,0.605,126.312,11,spotify:track:2BCkSCoBOgHKP75S0gbatn
