,name,artist,duration,key,mode,beats,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,URI
0,A) the Wonder (Album Version),Sonic Youth,255680,0,1,4,0.018,0.103,0.959,0.446,0.37,-4.408,0.0936,0.222,177.115,24,spotify:track:1WvkytBDFejuo8no8Ro0O7
1,a&t,21 Savage,211588,5,1,4,0.00169,0.924,0.567,0.0,0.0898,-5.009,0.0964,0.827,146.975,57,spotify:track:6ho88pvz4c8WCSFbdVXNia
2,A$AP Forever,A$AP Rocky,233061,10,0,4,0.224,0.469,0.78,0.0,0.13,-6.49,0.122,0.444,125.999,68,spotify:track:1YmF9PvLhIISIANoMLIYGq
3,About A Girl,Nirvana,166640,11,0,4,1.87e-05,0.409,0.932,1.6e-06,0.31,-4.538,0.0339,0.591,131.761,68,spotify:track:55yvzYuvJYG2RUEnMK78tr
4,Abracadabra,Steve Miller Band,308373,9,0,4,0.0749,0.791,0.535,1.96e-06,0.156,-13.261,0.0355,0.963,127.488,53,spotify:track:2E2ZVy2fxslpAUgbb4zu84
5,Act Naturally - Remastered 2009,The Beatles,150373,7,1,4,0.366,0.702,0.447,0.0,0.153,-10.122,0.0308,0.944,93.02,48,spotify:track:0IxxqsYBcCHEQ1HqLYJnwx
6,Actin Crazy,Action Bronson,239467,1,1,4,0.197,0.5,0.622,0.0,0.116,-7.282,0.619,0.252,165.503,56,spotify:track:3clX2NMmjaAHmBjeTSa9vV
7,Adan y Eva,Paulo Londra,258639,1,1,4,0.323,0.767,0.709,0.0,0.0676,-4.47,0.336,0.72,171.993,80,spotify:track:6FyRXC8tJUh863JCkyWqtk
8,Addiction,Kanye West,267067,1,0,4,0.185,0.659,0.756,0.0,0.252,-8.318,0.165,0.551,115.389,52,spotify:track:5VzeI5JM2y9t21JwrWAnkH
9,Afterlife (feat. Echos),ILLENIUM,364091,7,0,4,0.089,0.451,0.621,7.56e-06,0.155,-4.886,0.0429,0.205,88.023,35,spotify:track:3rtI6nGn7pQDHyf1F0aGAx
10,Aftershock (feat. Jacquie),Cash Cash,206320,8,1,4,0.052,0.544,0.811,0.0,0.121,-2.271,0.0515,0.188,129.011,47,spotify:track:1s82u8aaERDyKAyt2vyhQr
11,Ai Se Eu Te Pego - Ao Vivo,Michel Teló,170493,11,1,4,0.222,0.65,0.947,0.0,0.979,-5.326,0.0717,0.694,96.035,64,spotify:track:46aIq2GKW7Vr6i4g2Vvycd
12,Ain't No Rest for the Wicked,Cage The Elephant,175493,0,1,4,0.0438,0.634,0.849,0.0,0.363,-7.075,0.105,0.919,156.004,73,spotify:track:3Pzh926pXggbMe2ZpXyMV7
13,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,186147,2,0,4,0.672,0.778,0.566,0.000197,0.0698,-6.959,0.0311,0.479,117.971,72,spotify:track:3c8iiZGfEammKJuWTErE5x
14,Ain't That A Kick In The Head,Dean Martin,147293,6,0,1,0.604,0.586,0.253,0.0,0.3,-11.93,0.0538,0.718,108.168,60,spotify:track:7fQ3PYTYdu208fQ3JEm2U7
15,"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",B.o.B,319293,6,0,4,0.00325,0.665,0.878,0.0,0.0663,-4.745,0.206,0.394,93.047,60,spotify:track:2bnDTGikdoO8CwzlAPyBHR
16,Alarm - Marshmello Remix,Anne-Marie,219718,9,0,4,0.0429,0.684,0.975,0.0,0.064,-0.045,0.0904,0.7,141.994,50,spotify:track:2NvyKQtbrTYyiCHnmYrBRa
17,Alive,Krewella,290760,9,1,4,0.00413,0.663,0.822,0.00318,0.234,-2.909,0.0557,0.567,128.002,56,spotify:track:2SHnUyZq0zwmvRIl4WY77G
18,All Along,Kid Cudi,202813,0,1,4,0.799,0.605,0.344,0.675,0.138,-9.638,0.0254,0.435,79.947,52,spotify:track:5gNdqHSdG9eTbnvp8sZwUD
19,All Ass,Migos,294658,8,1,4,0.00625,0.836,0.758,0.0,0.207,-5.217,0.191,0.551,140.021,54,spotify:track:5QxqypupYWHrY8IkGCSObQ
20,All Falls Down,Kanye West,223507,8,0,4,0.149,0.657,0.734,0.0,0.139,-4.832,0.484,0.434,91.03,71,spotify:track:5SkRLpaGtvYPhw02vZhQQ9
21,All Gold Everything,Trinidad James,187907,0,0,4,0.0258,0.516,0.755,0.0,0.329,-8.868,0.351,0.633,99.742,57,spotify:track:0pgeVJrdNok4KhbiM58ayZ
22,All Mine,Kanye West,145507,11,0,4,0.123,0.925,0.31,0.0,0.0931,-6.531,0.291,0.291,121.927,72,spotify:track:3U21A07gAloCc4P7J8rxcn
23,all my friends,21 Savage,211785,0,1,4,0.171,0.713,0.62,1.16e-06,0.118,-4.513,0.0422,0.206,130.09,72,spotify:track:4paAidoE8VAemwU4jgCc6l
24,All My Loving - Remastered 2009,The Beatles,127853,1,0,4,0.207,0.416,0.563,0.0,0.343,-8.724,0.0298,0.9,77.56,68,spotify:track:4joiWvli4qJVEW6qZV2i2J
25,All Night (feat. Knox Fortune),Chance the Rapper,141542,2,1,4,0.0358,0.704,0.777,0.0,0.151,-5.729,0.195,0.392,111.921,69,spotify:track:60xaS8mYBKUW4VQQ666N0T
26,All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,John Legend,251613,5,0,4,0.000151,0.606,0.72,0.00165,0.0745,-6.253,0.0283,0.179,127.986,64,spotify:track:1mzGywacjpeik00PVLBPpF
27,All Of The Lights,Kanye West,299613,1,1,4,0.0796,0.541,0.803,1.71e-05,0.176,-3.284,0.0738,0.221,142.135,75,spotify:track:22L7bfCiAkJo5xGSQgmiIO
28,All Star,Smash Mouth,200373,11,1,4,0.0395,0.731,0.867,0.0,0.0861,-5.881,0.032,0.776,104.019,79,spotify:track:3cfOd4CMv2snFaKAnMdnvK
29,All The Right Moves,OneRepublic,238000,0,1,4,0.258,0.529,0.948,9.35e-06,0.283,-3.527,0.0474,0.65,146.024,64,spotify:track:5XRHGXut00SrJUFmcn2lQF
30,All The Small Things,blink-182,167067,0,1,4,0.0103,0.434,0.897,0.0,0.612,-4.918,0.0488,0.684,148.726,79,spotify:track:2m1hi0nfMR9vdGC8UcrnwU
31,All The Stars (with SZA),Kendrick Lamar,232187,8,1,4,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,0.552,96.924,79,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
32,All We Got (feat. Kanye West & Chicago Children's Choir),Chance the Rapper,203794,0,0,4,0.308,0.531,0.544,1.89e-06,0.0835,-8.615,0.462,0.398,131.921,65,spotify:track:3ZLyt2ndLFBh148XRYjYYZ
33,All We Know (feat. Phoebe Ryan),The Chainsmokers,194080,0,1,4,0.0985,0.666,0.59,0.00175,0.112,-8.769,0.0314,0.332,89.993,48,spotify:track:65Qe0x9oCbs9pNJc6QBFx7
34,All We Need (feat. Shy Girls) - Dzeko & Torres Remix Radio Edit,ODESZA,191250,9,1,4,0.0244,0.581,0.954,0.00413,0.223,-3.336,0.081,0.616,127.959,50,spotify:track:7fj9sa5dPVayB0YtsAX9Kb
